nids_a_excluir ,razon,fecha
58605550113,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58726000399,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58215117112,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58938147097,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58327084091,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58884781409,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58519140164,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58657687961,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58237670265,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58800842044,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59122792498,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58528447801,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58523157148,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58098066952,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59108214184,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58228326229,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59002537579,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58860581185,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
57953003366,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58059545742,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59319320202,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58076124345,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58895533641,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58645954229,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59312760656,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58205843357,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
57983657379,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
57958351402,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58212721780,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58945275930,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58888732819,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58898523517,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58320303417,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58693901707,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59301698317,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59169464440,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59128397727,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59169108044,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59154323541,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58347437101,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59097140103,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58861741158,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59444254542,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58653981815,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58066317846,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58348365186,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58671331367,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59576972713,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58048151203,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59330223242,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58451681538,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58498983747,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58378762861,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58140074641,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58214659468,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58371402933,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59342572815,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58218960545,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59222890841,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58320248395,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
